,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Location_Ahmedabad,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
39,2013,62000,22.07,1199,73.9,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
40,2008,90000,19.7,796,46.3,5.0,1.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
41,2014,19698,25.4,624,37.5,4.0,1.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
42,2017,22033,25.32,1198,77.0,6.0,5.58,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
43,2014,35487,18.5,1197,82.9,5.0,4.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
44,2014,46374,14.62,1999,149.92,5.0,8.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
45,2016,52001,14.28,1798,138.03,5.0,10.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
46,2008,58005,14.9,1991,112.2,5.0,4.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
47,2012,70704,11.25,2694,163.7,7.0,10.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
48,2014,75000,24.4,1120,71.0,5.0,3.85,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
49,2012,75800,16.55,2498,105.0,6.0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
50,2015,13648,17.11,1968,174.33,5.0,21.43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
51,2014,52000,22.9,1248,74.0,5.0,4.25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
52,2014,53000,17.8,1248,75.0,5.0,3.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
53,2013,65650,28.4,1248,74.0,5.0,3.85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
54,2015,54000,18.9,1197,82.0,5.0,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
55,2015,39000,15.04,1598,103.2,5.0,3.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
56,2017,16542,25.17,799,53.3,5.0,3.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
57,2010,32000,20.36,1197,78.9,5.0,2.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
58,2010,121812,13.29,1995,147.6,5.0,7.75,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
59,2010,39300,18.2,998,67.1,5.0,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
60,2017,22000,13.68,2393,147.8,8.0,16.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
61,2010,72000,20.0,1399,68.0,5.0,2.75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
62,2015,58000,11.74,1796,186.0,5.0,26.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
63,2011,65000,15.8,2148,170.0,5.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
64,2016,178000,25.0,1396,69.0,5.0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
65,2012,65664,16.55,1968,140.0,5.0,13.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
66,2007,63000,16.4,1497,78.0,5.0,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
67,2019,15369,0.0,1950,194.0,5.0,35.67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
68,2016,63000,24.52,1248,88.5,7.0,8.15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
69,2018,13000,22.1,1396,88.7,5.0,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
70,2008,73000,8.5,4806,500.0,5.0,14.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
71,2015,55729,15.1,2179,140.0,7.0,9.65,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
72,2012,45178,16.95,1197,78.9,5.0,3.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
73,2015,56066,19.64,1461,108.5,5.0,6.92,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
74,2016,37300,16.5,1198,86.8,5.0,6.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
75,2014,56000,18.53,1968,187.74,5.0,29.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
77,2006,230000,12.4,1998,132.0,8.0,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
78,2012,104000,12.8,2494,102.0,7.0,11.75,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
80,2012,95100,22.9,1248,74.0,5.0,3.75,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
81,2017,70000,17.57,1193,88.7,5.0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
82,2016,54944,18.0,1198,86.7,5.0,4.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
83,2012,70337,20.0,1399,68.0,5.0,2.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
84,2013,99638,23.2,1248,73.94,5.0,3.11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
85,2009,52000,17.8,1497,117.3,5.0,3.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
86,2011,75000,16.73,1995,218.0,5.0,13.9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
87,2009,95980,20.36,1197,78.9,5.0,2.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
88,2016,16000,18.9,1197,82.0,5.0,5.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
90,2016,18949,17.8,1198,86.7,5.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
91,2014,107000,13.0,2982,168.5,7.0,16.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
92,2018,48367,17.68,1968,174.33,5.0,39.58,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
93,2013,57000,22.7,1498,89.84,5.0,5.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
94,2014,58000,15.1,2179,140.0,7.0,8.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
95,2015,30000,25.8,1498,98.6,5.0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
96,2013,34212,22.07,1199,73.9,5.0,2.79,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
97,2010,70002,16.2,1493,110.0,5.0,3.45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
98,2016,62000,18.9,998,67.1,5.0,4.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
99,2010,62001,15.26,1598,103.5,5.0,2.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
100,2011,78958,23.0,1396,90.0,5.0,3.8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
101,2014,30180,18.5,1197,82.85,5.0,4.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
102,2017,32851,19.83,1198,67.0,7.0,3.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
103,2010,30000,14.94,2967,241.4,5.0,9.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
104,2009,66000,17.0,1197,80.0,5.0,2.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
105,2010,93850,14.0,796,35.0,5.0,2.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
106,2014,53000,17.71,1197,78.9,5.0,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
107,2011,78000,14.74,2993,270.9,5.0,24.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
108,2012,65000,16.0,2179,140.0,7.0,5.75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
109,2014,40000,22.32,1582,126.32,5.0,5.25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
110,2017,30000,11.36,2755,171.5,7.0,19.25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
111,2017,38053,15.1,1196,73.0,5.0,3.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
112,2014,25500,25.4,624,37.5,4.0,2.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
113,2015,56087,22.69,1995,190.0,5.0,20.75,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
114,2010,71088,13.5,1799,130.0,5.0,3.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
115,2014,55000,12.99,2494,100.6,7.0,11.11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
116,2014,32700,23.3,1984,150.0,5.0,20.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
117,2016,39882,19.15,1198,75.94,5.0,6.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
118,2009,128000,10.8,2497,215.0,5.0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
119,2016,55000,24.3,1248,88.5,5.0,7.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
121,2014,53753,15.0,2143,107.3,5.0,16.75,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
122,2018,10250,22.0,1582,126.2,5.0,10.95,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
123,2011,43874,18.9,998,67.1,5.0,2.45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
124,2017,32684,21.9,624,37.48,4.0,3.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
125,2014,42000,12.05,2179,120.0,8.0,7.75,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
126,2009,28352,11.7,1796,178.0,5.0,9.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
127,2013,89900,26.6,998,58.16,5.0,3.25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
128,2007,47700,10.8,2354,152.0,5.0,5.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
129,2015,55000,21.21,1498,103.2,5.0,7.25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
130,2017,44285,20.73,1373,91.1,5.0,7.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
131,2016,54000,16.0,2179,140.0,7.0,13.25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
132,2016,30232,21.1,1197,85.8,5.0,5.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
133,2014,88500,24.07,998,67.1,5.0,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
134,2017,13372,19.0,2996,362.07,2.0,54.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
135,2019,12645,17.0,1591,121.3,5.0,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
136,2010,94385,19.7,796,46.3,5.0,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
137,2015,31821,20.58,1995,143.0,5.0,17.22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
138,2015,12000,19.0,1199,88.7,5.0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
139,2012,88578,13.5,1799,130.0,5.0,3.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
140,2014,44965,19.27,2143,170.0,5.0,17.95,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
141,2014,45044,25.8,1498,98.6,5.0,3.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
142,2016,34204,22.0,1197,81.8,5.0,5.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
144,2012,91235,11.5,2982,171.0,7.0,13.49,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
145,2014,38800,18.6,1199,76.8,5.0,2.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
146,2013,83000,21.14,1498,103.52,5.0,4.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
147,2018,41283,20.73,1373,91.1,5.0,9.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
148,2013,23000,11.05,2894,444.0,4.0,37.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
149,2014,48000,21.76,1995,190.0,5.0,26.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
150,2015,48214,17.11,1968,174.33,5.0,23.32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
151,2016,35000,22.9,1248,74.0,5.0,6.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
152,2010,35277,7.81,5461,362.9,5.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
153,2016,54620,21.66,1498,103.52,5.0,9.86,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
154,2012,136997,17.2,1968,138.1,5.0,8.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
155,2019,14322,21.1,814,55.2,5.0,4.23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
156,2012,65634,22.07,1199,73.9,5.0,3.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
157,2016,6000,20.63,1198,67.06,5.0,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
158,2013,33280,19.4,1198,86.8,5.0,2.39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
159,2013,29000,14.8,1595,120.7,5.0,11.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
160,2015,42831,26.0,1498,98.6,5.0,7.11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
161,2016,90000,12.99,2494,100.6,7.0,10.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
162,2017,24005,20.4,1197,81.8,5.0,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
163,2012,32792,15.1,2179,140.0,7.0,7.9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
164,2014,147898,22.7,1498,89.84,5.0,4.42,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
165,2012,131765,13.0,2982,168.5,7.0,13.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
166,2013,65000,21.5,1498,108.5,5.0,6.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
167,2010,66123,20.0,1399,68.0,5.0,2.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
168,2015,41000,15.3,2993,258.0,5.0,45.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
169,2017,23550,19.27,2143,167.62,5.0,33.66,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
170,2012,45000,19.4,1198,86.8,5.0,3.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
171,2013,60000,20.36,1197,78.9,5.0,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
172,2016,44414,17.9,2143,170.0,5.0,42.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
173,2019,1000,18.9,1197,81.86,5.0,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
174,2012,62500,17.68,1968,174.33,5.0,19.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
175,2013,21000,14.4,1598,103.6,5.0,4.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
176,2017,8525,16.6,1998,112.0,5.0,23.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
177,2014,29000,22.54,1396,88.73,5.0,8.35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
178,2014,40000,17.68,1968,174.33,5.0,22.95,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
179,2012,88000,25.44,936,57.6,5.0,1.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
180,2012,53537,13.7,1798,157.75,5.0,6.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
181,2006,216000,17.8,1399,68.0,5.0,1.45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
182,2014,51000,22.48,1995,190.0,5.0,33.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
183,2007,118500,12.9,1598,102.5,5.0,1.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
184,2012,63000,22.07,1199,73.9,5.0,4.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
185,2015,25000,19.98,1461,108.5,8.0,6.75,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
186,2014,37382,13.0,2143,201.1,5.0,32.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
187,2017,24773,21.4,1197,83.1,5.0,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
188,2012,62000,22.32,1582,126.32,5.0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
189,2017,52340,19.81,1086,68.05,5.0,4.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
190,2016,56739,15.4,1997,120.0,7.0,10.31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
191,2018,36091,12.7,2179,187.7,5.0,55.76,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
192,2010,120000,20.0,1399,68.0,5.0,2.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
193,2016,33000,25.47,1248,88.5,7.0,8.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
195,2014,52000,25.8,1498,98.6,5.0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
196,2015,43571,20.36,1197,78.9,5.0,3.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
197,2013,50000,25.8,1498,98.6,5.0,3.25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
198,2008,113000,17.5,1896,106.0,5.0,4.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
199,2014,90000,19.87,1461,83.8,5.0,5.35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
200,2017,29000,17.45,1493,100.0,7.0,6.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
201,2016,20000,24.3,1248,88.5,5.0,9.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
